Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Пустовіт,Володимир,Ігорович,Чоловіча,14-03-2004,Педагог,хутір Вишгород,"проспект Миколи Вороного, буд. 2, Тиврів, 24668",066 139 32 08,nadiia14@example.com
Єрьоменко,Людмила,Іванівна,Жіноча,19-11-1995,Графік,хутір Фастів,"вулиця Радіальна, буд. 04, Глиняни, 13999",+380 (22) 991-04-40,yhavriushenko@example.com
Гаврилишин,Зорян,Андрійович,Чоловіча,07-06-1959,Гицель,місто Березань,"проспект Мелодійний, буд. 222 кв. 935, Шахтарськ, 23650",227 97 07,vladyslavtsiutsiura@example.com
Гаврилець,Демид,Дмитрович,Чоловіча,08-04-1967,Гінеколог,село Берестечко,"провулок Хімічний 2-й, буд. 8 кв. 415, Косів, 77964",+380 48 368-25-35,ielysei69@example.net
Кабаненко,Вікторія,Іванівна,Жіноча,29-05-1999,Машиніст,селище Новий Калинів,"узвіз Капітана Кузнецова, буд. 0 кв. 43, Золотоноша, 05519",+380 44 716-55-44,pavlozaika@example.net
Яремко,Ярослав,Анатолійович,Чоловіча,10-05-2003,Філолог,хутір Комарно,"провулок Лузанівський 1-й, буд. 046 кв. 607, Звенигородка, 46018",006 450 68 60,ovlokh@example.net
Юрчук,Роман,Ігорович,Чоловіча,05-12-1962,Патологоанатом,селище Тетіїв,"парк Мала, буд. 2 кв. 76, Балаклія, 15126",043 617-28-04,orysia19@example.org
Гузь,Аніта,Максимівна,Жіноча,04-08-1985,Євнух,село Сокологірськ,"шосе Олени Теліги, буд. 9, Борислав, 52537",+380 (98) 676-80-84,martavakarchuk@example.org
Зубко,Стефан,Арсенович,Чоловіча,13-11-1953,Публіцист,хутір Пирятин,"парк Латвійський узвіз, буд. 1, Славутич, 12852",091 209 02 53,pavlykbohuslava@example.org
Лубенець,Захар,Максимович,Чоловіча,22-03-1995,Мінералог,хутір Старий Самбір,"узвіз Байгородський, буд. 8 кв. 26, Керч, 55644",690-53-82,jzhadan@example.org
Колодуб,Дан,Арсенович,Чоловіча,25-07-1955,Ювелір,хутір Березань,"площа Могилівська, буд. 563 кв. 19, Золотоноша, 05842",494-38-99,erika56@example.net
Пʼятаченко,Тарас,Максимович,Чоловіча,03-08-1939,Гірничий інженер,селище Самбір,"сквер Волова, буд. 116, Тульчин, 99794",057 993-62-19,taleksandrenko@example.net
Артимишин,Вікторія,Борисівна,Жіноча,06-02-1953,Модельєр,селище Ладижин,"парк 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 9, Копичинці, 44400",+380 27 620 76 07,orkhypiashchuk@example.com
Асаула,Ярослав,Ігорович,Чоловіча,04-02-1943,Фольклорист,селище Знам'янка,"узвіз Василя Кандинського, буд. 278, Підгородне, 51513",+380 (90) 101-92-48,vandroshchuk@example.net
Ярош,Станіслав,Борисович,Чоловіча,21-04-1943,Продюсер,хутір Жовква,"шосе Назарівська, буд. 44, Василівка, 18994",018 967-00-31,fursolena@example.com
Венгринович,Маруся,Анатоліївна,Жіноча,26-02-1986,Стиліст,село Горішні Плавні,"набережна Лінія 30-та, буд. 2 кв. 067, Інкерман, 90131",006-23-31,varvara74@example.com
Бандура,Августин,Дмитрович,Чоловіча,05-11-2002,Електромонтер,село Донецьк,"проспект 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 852, Великі Мости, 36206",+380 68 655-70-78,vkarpenko@example.com
Їжакевич,Мілена,Василівна,Жіноча,13-12-1950,Лікар,місто Пирятин,"парк Весняна, буд. 196, Синельникове, 06607",+380 13 083-30-97,rshtokalo@example.org
Деревʼянко,Альбіна,Олександрівна,Жіноча,13-12-1971,Акушер,хутір Кролевець,"набережна Паркова, буд. 6 кв. 8, Хорол, 92165",088 91 71,oderevianko@example.com
Андрійович,Віталій,Михайлович,Чоловіча,23-01-1944,Астронавт,місто Заводське,"шосе Слави, буд. 95, Вишгород, 79172",+380 74 552 81 88,jhavrylyshyn@example.net
Ірванець,Яків,Олександрович,Чоловіча,12-05-1953,Громадський діяч,місто Підгородне,"шосе Перлинна, буд. 42, Бахчисарай, 52108",+380 50 703-31-87,priska09@example.net
Штепа,Костянтин,Петрович,Чоловіча,02-12-1999,Програміст,селище Кам'янське,"площа Андреєвського, буд. 01 кв. 8, Южноукраїнськ, 28009",072 850-86-97,olhavalenko@example.org
Шевченко,Герман,Михайлович,Чоловіча,01-04-1951,Няня,хутір Охтирка,"провулок Артезіанська, буд. 278, Боярка, 53201",+380 19 294-75-57,kyrylenkoleon@example.net
Радченко,Ілля,Олександрович,Чоловіча,13-07-1994,Єгер,місто Тиврів,"парк Верф’яний, буд. 8, Джанкой, 69883",+380 (22) 314-75-41,milenadubenko@example.org
Верес,Орхип,Євгенович,Чоловіча,30-12-1990,Письменник,селище Павлоград,"провулок Грушева, буд. 4, Гайсин, 83522",+380 (19) 990-39-88,avreliihres@example.com
Перебийніс,Єлисей,Олегович,Чоловіча,20-08-2006,Економіст,місто Золотоноша,"проспект Охтирський, буд. 525, Сватове, 65379",+380 (81) 402-79-52,kchekaliuk@example.com
Уманець,Болеслав,Іванович,Чоловіча,12-04-2006,Стиліст,хутір Сніжне,"площа Дев’ята, буд. 1, Соснівка, 11129",+380 (68) 236-85-56,tarasenkoiustyna@example.net
Романець,Семен,Борисович,Чоловіча,21-01-1949,Зоолог,хутір Тараща,"сквер Новопланівська, буд. 7, Броди, 58489",+380 88 311-03-36,viterlukian@example.com
Ґалаґан,Костянтин,Максимович,Чоловіча,02-05-1953,Хімік,хутір Благовіщенське,"узвіз Бернардацці, буд. 1 кв. 966, Славутич, 50464",037 612 26 00,feofan75@example.org
Гаврюшенко,Христина,Євгенівна,Жіноча,23-04-1988,Гірник,хутір Енергодар,"сквер Виноградний тупик, буд. 715, Перевальськ, 77952",049 769 85 59,pnosenko@example.org
Медведенко,Одарка,Дмитрівна,Жіноча,01-03-1939,Сценарист,хутір Ананьїв,"шосе Грузовий, буд. 0 кв. 2, Батурин, 96104",+380 69 992-20-34,tymofii96@example.com
Цюцюра,Вікторія,Іванівна,Жіноча,12-01-1982,Геофізик,селище Олешки,"шосе Пересипська 4-та, буд. 31 кв. 7, Збараж, 96614",136 54 34,rudykanastasiia@example.net
Батюк,Тимофій,Анатолійович,Чоловіча,31-03-1984,Географ,селище Білогірськ,"парк Лінія 41-ша, буд. 2, Перевальськ, 16765",+380 18 585-39-57,abramchuktaras@example.org
Андрієвич,Тереза,Максимівна,Жіноча,28-07-2002,Літературознавець,селище Львів,"провулок Богдана Хмельницького, буд. 406 кв. 49, Полонне, 77020",072 636 08 38,udovenkomakar@example.net
Гайдай,Сніжана,Анатоліївна,Жіноча,23-11-1978,Кінорежисер,селище Корсунь-Шевченківський,"провулок Набережна, буд. 6 кв. 301, Ізяслав, 27456",011 994 48 04,sdzyndra@example.net
Дергач,Людмила,Сергіївна,Жіноча,09-02-2002,Паралегал,селище Новоазовськ,"сквер Колонтаївська, буд. 84 кв. 546, Молочанськ, 84790",097 774-04-54,khorishkovira@example.org
Юрчишин,Олена,Олександрівна,Жіноча,13-01-1954,Бібліотекар,хутір Молочанськ,"провулок Листяна, буд. 597, Мостиська, 79760",+380 (02) 351-14-51,milena96@example.org
Макаренко,Святослава,Олегівна,Жіноча,03-02-1955,Економіст,хутір Миколаївка,"вулиця Гіацинтовий, буд. 345 кв. 99, Нове Давидково, 21621",003 860-76-70,zshchyrytsia@example.net
Черінько,Соломія,Семенівна,Жіноча,30-04-2002,Геофізик,місто Стрий,"провулок Лузанівка, буд. 266 кв. 395, Олешки, 38756",977-16-52,orynababko@example.net
Андрощук,Альберт,Борисович,Чоловіча,07-09-1942,Модельєр,село Долина,"площа Скляний 1-й, буд. 25 кв. 776, Довжанськ, 11178",+380 83 590 64 95,iosyphaidamaka@example.net
Вакарчук,Дмитро,Володимирович,Чоловіча,20-01-1954,Нотаріус,місто Новоукраїнка,"сквер Покровський, буд. 2 кв. 83, Лисичанськ, 15939",326-52-33,zinchuksymon@example.net
Лаба,Надія,Олегівна,Жіноча,16-06-1973,Фізик,місто Суходільськ,"вулиця Будівельний, буд. 729 кв. 646, Ізмаїл, 17099",016 142 52 52,ievatsarenko@example.net
Ящук,Ярема,Юрійович,Чоловіча,21-05-2004,Соціолог,село Вознесенівка,"сквер Промисловий, буд. 47, Львів, 40362",025 936-89-86,alevtynsheremet@example.org
Пушкар,Сніжана,Володимирівна,Жіноча,14-09-1991,Археолог,селище Чоп,"парк Гетьманський, буд. 896 кв. 837, Зеленодольськ, 24326",+380 44 818-01-97,lubenetsanita@example.com
Давимука,Оксенія,Петрівна,Жіноча,10-03-1944,Няня,хутір Радивилів,"парк Дальницька, буд. 9, Добропілля, 70006",+380 80 387-16-11,conishchuk@example.com
Сич,Феофан,Семенович,Чоловіча,17-04-1985,Музичний редактор,місто Брянка,"вулиця Юрія Яновського, буд. 5 кв. 61, Українка, 51752",+380 (90) 820-16-69,ufranko@example.org
Шахрай,Августин,Борисович,Чоловіча,21-05-1961,Співак,хутір Южноукраїнськ,"шосе Соляний 5-й, буд. 7, Сорокине, 90750",+380 97 019-81-67,gfareniuk@example.com
Жук,Марта,Петрівна,Жіноча,11-08-1995,Фотограф,село Горлівка,"шосе Набережна, буд. 8 кв. 54, Скалат, 18688",+380 83 094 36 81,zokhrymovych@example.org
Ярош,Юстим,Євгенович,Чоловіча,03-07-1957,Гінеколог,хутір Збараж,"сквер Давида Бурлюка, буд. 4 кв. 8, Кременець, 33547",313 16 55,davyd68@example.net
Каденюк,Климент,Дмитрович,Чоловіча,18-08-1953,Ботанік,селище Берегове,"проспект Короткий, буд. 589 кв. 55, Сокиряни, 78559",+380 36 863 09 41,tymofiiaronets@example.org
Черненко,Василина,Григорівна,Жіноча,09-12-1996,Провізор,село Селидове,"площа Світанку, буд. 0 кв. 78, Хирів, 86746",+380 83 308-88-86,lytvynenkovadym@example.org
Алексійчук,Петро,Юрійович,Чоловіча,17-11-1939,Бухгалтер,хутір Сокиряни,"сквер Ювілейний 1-й, буд. 67 кв. 982, Лохвиця, 03166",+380 86 755 43 70,myroslavbairak@example.net
Дашенко,Омелян,Васильович,Чоловіча,15-02-2006,Професор,місто Бориспіль,"узвіз Манежна, буд. 92 кв. 091, Українка, 02004",+380 (77) 310-88-88,pryimakarkadii@example.com
Швачко,Ярема,Васильович,Чоловіча,09-03-1965,Модельєр,місто Стебник,"сквер Авіаторів, буд. 728, Марганець, 36156",+380 09 597-97-67,solomiiamykhailychenko@example.net
Дробаха,Остап,Дмитрович,Чоловіча,14-06-1954,Локсмайстер,село Вижниця,"площа Восьмого Березня Лінія 1-ша, буд. 1, Новгород-Сіверський, 49204",+380 71 539-90-37,shtokaloavhustyn@example.org
Кириленко,Стефан,Михайлович,Чоловіча,20-09-1959,Агроном,місто Заліщики,"сквер Зелена гірка, буд. 928, Вільногірськ, 52074",+380 (08) 301-04-58,makar81@example.org
Даньків,Руслан,Петрович,Чоловіча,12-02-1948,Історик,місто Бахмут,"провулок Тираспольська, буд. 29, Глобине, 11569",+380 (43) 180-68-19,makarenkofrants@example.org
Матвієнко,Симон,Сергійович,Чоловіча,30-03-1948,М'ясник,село Нова Одеса,"проспект Закарпатська, буд. 218 кв. 4, Борщів, 18585",+380 26 054 23 92,artemshutko@example.net
Лемешко,Артем,Максимович,Чоловіча,07-09-1987,Астронавт,село Кагарлик,"парк Китобійний 1-й, буд. 99 кв. 52, Лебедин, 32383",+380 (56) 122-29-16,vasylashkoihnat@example.net
Хорішко,Надія,Юріївна,Жіноча,10-07-1994,Дизайнер,село Арциз,"провулок Севастопольський, буд. 944, Березне, 24243",+380 (23) 954-11-05,ielyseidziuba@example.net
Павленко,Леонід,Іванович,Чоловіча,11-05-1976,Сантехнік,місто Ясинувата,"набережна Азовський, буд. 1, Лиман, 40328",+380 (45) 254-38-06,csemenchenko@example.com
Сірко,Маруся,Олегівна,Жіноча,03-12-2003,Композитор,село Сімферополь,"сквер Юннатів 2-й, буд. 661 кв. 267, Лозова, 67102",326 16 12,ustym61@example.org
Гречаник,Руслан,Ігорович,Чоловіча,08-02-1976,Електрослюсар,хутір Снятин,"парк Ярморочна площа, буд. 7, Полонне, 35619",039 361-44-98,dmytro89@example.net
Романенко,Орхип,Дмитрович,Чоловіча,03-02-1962,Єгер,хутір Покров,"набережна Кавунова, буд. 2 кв. 38, Дніпро, 62398",+380 12 478-73-38,rhupalo@example.org
Дерегус,Одарка,Олександрівна,Жіноча,02-11-1963,Фармацевт,хутір Чистякове,"сквер Майстерний, буд. 64 кв. 71, Бар, 85173",+380 (81) 365-68-81,chumaknadiia@example.net
Овсієнко,Мирон,Сергійович,Чоловіча,21-08-1967,Патологоанатом,селище Краматорськ,"проспект Лінійна, буд. 745, Прип'ять, 80815",+380 69 366 82 78,szasenko@example.com
Авраменко,Охрім,Романович,Чоловіча,25-06-1963,Краєзнавець,місто Біла Церква,"сквер Сергія Ейзенштейна, буд. 341, Зміїв, 04613",+380 89 017 06 57,aieremenko@example.net
Опанасенко,Йосип,Ігорович,Чоловіча,30-06-1968,М'ясник,хутір Чорнобиль,"набережна Сирітський 2-й, буд. 19 кв. 521, Рахів, 04013",296-26-33,panas05@example.org
Ґоляш,Ганна,Іванівна,Жіноча,12-11-1956,Композитор,хутір Яворів,"проспект Флотський 3-й, буд. 517, Щолкіне, 58744",+380 54 990-23-58,havryliukvenedykt@example.org
Копитко,Ярема,Ігорович,Чоловіча,05-09-1959,Конструктор,село Стебник,"провулок Різдвяна, буд. 8 кв. 8, Кам'янка-Дніпровська, 25994",081 49 80,daryna01@example.org
Ярош,Світлана,Арсенівна,Жіноча,26-09-2005,Головний меркшейдер,хутір Каховка,"набережна Лиманчик 2-й Лінія 9-та, буд. 37, Нетішин, 07698",080 246-80-29,ielysavetaieshchenko@example.net
Устенко,Ростислав,Анатолійович,Чоловіча,06-10-1944,Архітектор,місто Голубівка,"шосе Будівельна, буд. 70, Українськ, 85332",+380 23 823-68-17,andriiovychpylyp@example.com
Дутка,Тимофій,Васильович,Чоловіча,08-12-1948,Слідчий,місто Бар,"проспект Почаївська, буд. 95, Покров, 51878",+380 (44) 234-86-30,iakiv36@example.net
Власенко,Хома,Ігорович,Чоловіча,09-08-1998,Палеонтолог,селище Лохвиця,"площа Сірожупанників, буд. 62, Умань, 62933",+380 27 077 25 65,zoberemko@example.com
Ващенко-Захарченко,Мирослав,Максимович,Чоловіча,19-01-1962,Ґрунтознавець,місто Вугледар,"сквер Гонсіоровського, буд. 1, Буринь, 73511",015 603-43-07,veresklavdiia@example.net
Івасюк,Ліза,Олександрівна,Жіноча,26-02-1953,Каскадер,хутір Кривий Ріг,"площа Миколаївська дорога, буд. 33, Сокиряни, 16397",+380 22 211 26 29,mchuiko@example.org
Щорс,Ірина,Максимівна,Жіноча,22-11-2003,Етнограф,місто Бердянськ,"набережна Чорноморський 13-й, буд. 2, Косів, 91765",067 41 04,tzabashta@example.com
Колесниченко,Ярема,Ігорович,Чоловіча,27-05-2006,Пілот,місто Костянтинівка,"вулиця Машинобудівний, буд. 519 кв. 741, Погребище, 39857",+380 35 582-00-21,havryloprokopovych@example.org
Оберемко,Августин,Іванович,Чоловіча,29-03-1976,Мірошник,хутір Виноградів,"парк Крушельницької, буд. 16, Старий Самбір, 48389",+380 30 234 13 10,tereza15@example.net
Терещук,Хома,Володимирович,Чоловіча,16-10-1987,Електрослюсар,місто Тернівка,"парк Старицького, буд. 8, Зимогір'я, 17779",+380 41 848-86-68,mykhailynamakarenko@example.net
Гузь,Макар,Борисович,Чоловіча,15-01-1965,Бухгалтер,село Борщів,"проспект Керченський 3-й, буд. 65 кв. 225, Калуш, 55923",+380 (50) 601-53-28,piatsenko@example.com
Ісаєвич,Ярема,Євгенович,Чоловіча,11-09-1991,Психолог,селище Нетішин,"сквер Амундсена, 1-й, буд. 0 кв. 93, Великі Мости, 19971",+380 (34) 303-63-65,oles52@example.net
Арсенич,Алла,Євгенівна,Жіноча,14-05-1950,Геофізик,місто Зіньків,"проспект Путівна, буд. 5, Новоселиця, 03858",858-52-76,babarychenkovalentyna@example.org
Єрмоленко,Федір,Володимирович,Чоловіча,30-12-1946,Кінолог,хутір Мар'їнка,"сквер 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 9, Жмеринка, 24681",844-14-26,artemdeisun@example.org
Василечко,Валентина,Сергіївна,Жіноча,23-06-1942,Правник,місто Хотин,"сквер Середня, буд. 2 кв. 16, Сніжне, 20752",147-46-03,hryhorii97@example.net
Кальченко,Федір,Петрович,Чоловіча,09-07-1997,Детектив,місто Севастополь,"вулиця Дідріхсона, буд. 54 кв. 517, Заліщики, 10301",664-54-98,ateslenko@example.com
Василашко,Одарка,Юріївна,Жіноча,16-11-1994,Бібліотекар,місто Жмеринка,"шосе Багрицького, буд. 16 кв. 5, Приморськ, 11064",+380 68 179 60 42,sdurdynets@example.org
Слюсар,Мілена,Євгенівна,Жіноча,24-05-1978,Правник,селище Красногорівка,"проспект Аеропортівський 4-й, буд. 60, Севастополь, 93649",030 570-38-02,oleh25@example.net
Панчук,Степан,Дмитрович,Чоловіча,27-01-1984,Шериф,селище Оріхів,"шосе Агрономічна, буд. 54, Ківерці, 15068",+380 58 590 72 70,tsushkoiaroslava@example.org
Власенко,Мартин,Борисович,Чоловіча,05-02-1947,Музичний редактор,місто Сокиряни,"узвіз Заводська 4-та, буд. 583 кв. 429, Зоринськ, 14273",037 250 47 22,khrystynaieroshenko@example.net
Копитко,Спас,Олегович,Чоловіча,19-10-1969,Архітектор,село Южноукраїнськ,"набережна Батуринська, буд. 1, Монастириська, 86956",+380 98 576 39 94,pylypsahal@example.com
Лисенко,Михайло,Іванович,Чоловіча,23-08-2003,Музикант,село Костянтинівка,"парк Нафтовиків, буд. 994 кв. 57, Полонне, 34194",+380 56 102-91-06,chernenkohennadii@example.org
Андрійчук,Еріка,Євгенівна,Жіноча,24-04-1972,Гірник,село Белз,"вулиця Олени Теліги, буд. 8, Горішні Плавні, 55719",+380 02 005-66-12,hohol-ianovskazakhar@example.com
Слюсар,Марко,Євгенович,Чоловіча,06-09-1971,Музикознавець,село Вільногірськ,"парк Куликове поле, буд. 80, Луцьк, 55444",+380 66 520 10 00,pylyppustovit@example.net
Мірошниченко,Гордій,Олегович,Чоловіча,25-02-1940,Художник,село Чернівці,"площа Нечипуренка, буд. 22, Болехів, 73086",+380 79 793-18-08,albina98@example.org
Вдовенко,Ада,Михайлівна,Жіноча,10-11-1960,Дерун,місто Довжанськ,"сквер Басейний 4-й, буд. 04, Шпола, 41692",+380 97 586-11-98,demianiukkhoma@example.org
Христенко,Варвара,Дмитрівна,Жіноча,29-01-1968,Громадський діяч,село Заводське,"шосе Стрийський, буд. 9, Верхньодніпровськ, 22687",+380 49 814-03-84,hlib25@example.org
Вдовиченко,Симон,Петрович,Чоловіча,05-05-1967,Інженер,місто Знам'янка,"шосе Бузковий 2-й, буд. 7, Ковель, 81439",+380 (60) 600-88-11,bevzpetro@example.org
Атаманюк,Мартин,Юрійович,Чоловіча,22-06-1954,Письменник,місто Донецьк,"вулиця Книжковий, буд. 4 кв. 75, Борзна, 02395",328 54 99,aiermolenko@example.com
Бездітко,Володимира,Євгенівна,Жіноча,19-07-1992,Журналіст,селище Шумськ,"узвіз Олександра Богомольця, буд. 69 кв. 063, Шаргород, 98447",546 70 92,kolodubmartyn@example.net
Бездітко,Опанас,Михайлович,Чоловіча,15-10-1951,Модельєр,місто Сновськ,"провулок Юзефа Крашевського, буд. 786, Бібрка, 20821",+380 (63) 281-98-70,uhohol-ianovska@example.com
Баран,Пріска,Максимівна,Жіноча,11-05-1996,Етнограф,хутір Біляївка,"набережна Волова, буд. 517, Сновськ, 27402",+380 (03) 680-42-00,jonyshchenko@example.net
Юрчишин,Остап,Васильович,Чоловіча,11-08-1981,Журналіст,селище Хрестівка,"шосе Кедровий, буд. 728 кв. 5, Міусинськ, 85561",067 538-62-12,hanna91@example.org
Гаєвський,Іван,Васильович,Чоловіча,13-10-1985,Електромонтажник,хутір Радивилів,"сквер Обільна, буд. 909, Хмільник, 16202",+380 09 413-04-25,petrenkooleksandr@example.net
Верховинець,Зорян,Семенович,Чоловіча,28-07-1957,Пілот,місто Узин,"узвіз Прохоровська, буд. 01 кв. 77, Жовті Води, 67452",034 018 09 91,karpenkoherman@example.com
Гаврилишина,Мирослав,Петрович,Чоловіча,14-09-2002,Редактор,хутір Дніпро,"узвіз Джевецького, буд. 9 кв. 577, Бершадь, 93351",+380 93 743-46-65,qievtushok@example.org
Наливайко,Миколай,Михайлович,Чоловіча,10-02-2006,Будник,селище Зіньків,"узвіз Юрія Кондратюка, буд. 71 кв. 8, Ічня, 78895",+380 13 328-89-42,vkovpak@example.net
Гавришкевич,Амвросій,Григорійович,Чоловіча,05-09-1956,Фармацевт,місто Охтирка,"узвіз Текстильників, буд. 1, Кам'янське, 18361",+380 18 983-98-05,petro29@example.com
Редько,Анжела,Євгенівна,Жіноча,19-02-1996,Музикознавець,хутір Чоп,"парк Соляний 4-й, буд. 97 кв. 1, Ровеньки, 14635",+380 46 803 23 93,zkonoplia@example.org
Фаренюк,Володимира,Юріївна,Жіноча,04-07-2001,Гінеколог,село Липовець,"шосе Миколи Леонтовича, буд. 067, Сторожинець, 82347",287-53-07,fiashchenko@example.net
Фастенко,Вʼячеслав,Михайлович,Чоловіча,13-10-1997,Співак,селище Кальміуське,"узвіз Івана Вазова, буд. 07 кв. 43, Вилкове, 93267",466 06 28,karpenkoamvrosii@example.com
Удовенко,Георгій,Семенович,Чоловіча,20-07-1946,Сценарист,місто Антрацит,"провулок Санаторний, буд. 1, Кривий Ріг, 43144",041 845 62 67,orestdarahan@example.net
Кабалюк,Любов,Володимирівна,Жіноча,13-10-1971,Модельєр,село Новий Буг,"площа Парашутний, буд. 28 кв. 0, Рені, 93190",382-21-85,iustynasaienko@example.org
Даниленко,Галина,Сергіївна,Жіноча,08-05-1947,Астронавт,місто Долина,"набережна Лузанівський 2-й, буд. 719 кв. 103, Полонне, 75613",+380 (71) 494-69-95,oshtokalo@example.com
Василечко,Аврелій,Олександрович,Чоловіча,01-09-2007,Кіноактор,село Зеленодольськ,"проспект Купріна, буд. 628, Чистякове, 66907",+380 66 279-98-21,artem18@example.org
Колісниченко,Болеслав,Борисович,Чоловіча,28-06-1943,Палеонтолог,хутір Чугуїв,"вулиця Кустанайська, буд. 90, Вільнянськ, 68825",251 57 58,vladyslav25@example.net
Гаврилюк,Мирослав,Петрович,Чоловіча,03-05-1989,Клоун,хутір Оріхів,"шосе Канатна, буд. 0, Шумськ, 91668",+380 51 168 99 30,ubabenko@example.com
Дробаха,Давид,Васильович,Чоловіча,11-04-1942,Реабілітолог,селище Галич,"проспект Валерія Лобановського, буд. 481, Угнів, 86987",827 39 11,mykhailo65@example.net
Балабан,Лілія,Борисівна,Жіноча,18-09-1987,Медик,село Полонне,"узвіз Дерибасівська, буд. 530 кв. 02, Вуглегірськ, 71492",057 231-90-00,lkovpak@example.net
Худяк,Мирон,Юрійович,Чоловіча,06-07-1972,Швачка,селище Перемишляни,"проспект Деревообробний 2-й, буд. 7 кв. 774, Березань, 07538",+380 61 950-19-01,danyloieroshenko@example.com
Семенченко,Світлана,Арсенівна,Жіноча,19-10-2001,Бібліотекар,місто Дніпро,"набережна Олешківська, буд. 25 кв. 61, Славутич, 24530",+380 00 528-96-98,ustymgalagan@example.com
Гавриш,Онисим,Максимович,Чоловіча,22-12-1963,Ветеринар,село Покров,"площа Івахненка Петра, буд. 53 кв. 7, Ходорів, 32588",060 688 44 06,iaremahrytsenko@example.com
Бгиденко,Клавдія,Борисівна,Жіноча,07-03-1993,Хімік,місто Моспине,"провулок Флотський 3-й, буд. 9 кв. 82, Хрестівка, 73592",129 40 50,shapovalvitalii@example.com
Цибуленко,Емілія,Романівна,Жіноча,11-03-1968,Гінеколог,селище Бердичів,"площа Проценка, буд. 5 кв. 8, Южноукраїнськ, 92534",+380 76 796-84-74,anastasiia27@example.com
Лагода,Дарина,Петрівна,Жіноча,02-10-1943,М'ясник,місто Підгородне,"провулок Середньофонтанська, буд. 966, Чоп, 87745",+380 44 418 86 23,vlazarenko@example.org
Шиян,Тарас,Романович,Чоловіча,23-04-1999,Медик,селище Рожище,"сквер Чорноморський 2-й, буд. 30, Узин, 41353",+380 64 736-24-76,mykhailo85@example.net
Овсієнко,Святослав,Олександрович,Чоловіча,23-12-2007,Швачка,хутір Бердянськ,"парк Долинська, буд. 677 кв. 8, Ковель, 67131",+380 (75) 886-20-08,ymykytiuk@example.net
Вахній,Ліза,Максимівна,Жіноча,10-06-1957,Провізор,селище Славутич,"узвіз Щіпний, буд. 8 кв. 410, Славута, 28319",+380 88 932 92 34,qskoryk@example.com
Шутько,Феофан,Ігорович,Чоловіча,10-08-1983,Фотограф,село Заводське,"шосе Чайкова, буд. 13 кв. 6, Дунаївці, 15509",079 566-06-17,alevtynartymyshyn@example.net
Андріїшина,Марʼяна,Семенівна,Жіноча,22-01-1992,Конструктор,селище Куп'янськ,"парк Олександра Богомольця, буд. 85 кв. 03, Тараща, 07126",276-86-88,xzaiets@example.net
Гресь,Богуслава,Дмитрівна,Жіноча,07-12-1985,Кінорежисер,хутір Алушта,"узвіз Скидановська, буд. 57 кв. 938, Армянськ, 66773",802 34 97,hresdavyd@example.com
Фесенко,Володимира,Іванівна,Жіноча,22-03-1941,Професор,село Сіверськодонецьк,"площа Петра Болбочана, буд. 02, Білозерське, 05031",+380 26 203-78-19,qvlasiuk@example.com
Охримович,Ірина,Юріївна,Жіноча,18-08-1994,Драматург,місто Лебедин,"парк Небесної Сотні, буд. 588, Липовець, 43003",612-94-46,vyshniakirena@example.com
Валенко,Марина,Іванівна,Жіноча,12-11-1957,Дантист,селище Мерефа,"проспект Церковна, буд. 04, Костопіль, 91775",486-28-80,avrelii43@example.com
Яремко,Мартин,Анатолійович,Чоловіча,19-10-1997,Машиніст,хутір Тульчин,"проспект Острозька, буд. 0, Дубно, 25103",+380 31 171 51 96,huziipylyp@example.net
Рябошапка,Лариса,Ігорівна,Жіноча,14-07-1964,Програміст,селище Зеленодольськ,"сквер Полуничний, буд. 032 кв. 1, Сніжне, 74627",090 504 24 93,hannaovsiienko@example.net
Шухевич,Оксана,Олегівна,Жіноча,12-02-1946,Музикант,село Карлівка,"набережна Набережна, буд. 10, Гола Пристань, 41614",+380 (20) 910-72-44,baransvitlana@example.org
Кальченко,Геннадій,Ігорович,Чоловіча,26-03-1976,Геофізик,селище Бердянськ,"узвіз Миколи Міхновського, буд. 103, Козятин, 52873",+380 68 021-04-32,havryliukklavdiia@example.org
Токар,Гаврило,Юрійович,Чоловіча,14-07-1979,Модельєр,селище Калинівка,"узвіз Спиридонівська, буд. 6 кв. 7, Липовець, 12841",+380 14 371-79-86,nisaievych@example.org
Теличенко,Франц,Андрійович,Чоловіча,06-03-1955,Антрополог,хутір Теребовля,"узвіз Трибуни героїв, буд. 442 кв. 7, Старокостянтинів, 21245",+380 92 266 55 81,ydankiv@example.com
Годунок,Вʼячеслав,Васильович,Чоловіча,03-03-1950,Музикант,селище Вознесенівка,"набережна Левкоєва, буд. 2, Деражня, 92999",656 71 16,klavdiiapoltavets@example.net
Вернидуб,Любов,Юріївна,Жіноча,20-01-1962,Штукатур,село Хутір-Михайлівський,"провулок Ботанічний, буд. 856, Новий Буг, 43058",067 297 36 98,avramchukhennadii@example.org
Пушкар,Левко,Андрійович,Чоловіча,15-05-1963,Стоматолог,село Яворів,"проспект Надіїі, буд. 502 кв. 428, Городище, 99544",034 740 15 28,rzasiadko@example.net
